LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
3.78	11.0827	6.65962	0.00158461	0.00690736
3.79	11.0791	6.6672	0.00158363	0.00691522
3.8	11.0756	6.67477	0.00158265	0.00692308
3.81	11.0721	6.68234	0.00158167	0.00693093
3.82	11.0685	6.68991	0.00158068	0.00693878
3.83	11.065	6.69747	0.00157968	0.00694662
3.84	11.0614	6.70502	0.00157868	0.00695445
3.85	11.0579	6.71257	0.00157767	0.00696228
3.86	11.0544	6.72012	0.00157666	0.00697011
3.87	11.0508	6.72766	0.00157564	0.00697793
3.88	11.0473	6.73519	0.00157462	0.00698574
3.89	11.0438	6.74272	0.0015736	0.00699356
3.9	11.0402	6.75025	0.00157256	0.00700136
3.91	11.0367	6.75777	0.00157153	0.00700916
3.92	11.0332	6.76528	0.00157049	0.00701696
3.93	11.0297	6.77279	0.00156944	0.00702475
3.94	11.0262	6.7803	0.00156839	0.00703253
3.95	11.0227	6.7878	0.00156733	0.00704031
3.96	11.0192	6.7953	0.00156627	0.00704809
3.97	11.0156	6.80279	0.0015652	0.00705585
3.98	11.0121	6.81027	0.00156413	0.00706362
3.99	11.0086	6.81775	0.00156305	0.00707138
4	11.0051	6.82523	0.00156197	0.00707913
4.01	11.0016	6.8327	0.00156088	0.00708688
4.02	10.9981	6.84016	0.00155979	0.00709462
4.03	10.9946	6.84762	0.00155869	0.00710236
4.04	10.9912	6.85508	0.00155759	0.00711009
4.05	10.9877	6.86253	0.00155648	0.00711782
4.06	10.9842	6.86997	0.00155537	0.00712554
4.07	10.9807	6.87741	0.00155426	0.00713325
4.08	10.9772	6.88484	0.00155313	0.00714096
4.09	10.9737	6.89227	0.00155201	0.00714866
4.1	10.9703	6.89969	0.00155087	0.00715636
4.11	10.9668	6.90711	0.00154974	0.00716406
4.12	10.9633	6.91452	0.00154859	0.00717174
4.13	10.9598	6.92193	0.00154745	0.00717942
4.14	10.9564	6.92933	0.0015463	0.0071871
4.15	10.9529	6.93672	0.00154514	0.00719477
4.16	10.9495	6.94411	0.00154398	0.00720244
