SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
4.51	25.1968	0.0045704
4.52	25.2173	0.00453895
4.53	25.2377	0.00450769
4.54	25.2579	0.00447661
4.55	25.278	0.00444572
4.56	25.298	0.00441501
4.57	25.3178	0.00438449
4.58	25.3375	0.00435415
4.59	25.357	0.004324
4.6	25.3764	0.00429402
4.61	25.3957	0.00426423
4.62	25.4149	0.00423461
4.63	25.4339	0.00420518
4.64	25.4527	0.00417593
4.65	25.4715	0.00414685
4.66	25.4901	0.00411795
4.67	25.5086	0.00408923
4.68	25.527	0.00406068
4.69	25.5452	0.00403231
4.7	25.5633	0.00400412
4.71	25.5813	0.0039761
4.72	25.5991	0.00394825
4.73	25.6169	0.00392057
4.74	25.6345	0.00389307
4.75	25.6519	0.00386574
4.76	25.6693	0.00383858
4.77	25.6865	0.00381159
4.78	25.7036	0.00378476
4.79	25.7206	0.00375811
4.8	25.7375	0.00373162
4.81	25.7542	0.0037053
4.82	25.7709	0.00367915
4.83	25.7874	0.00365316
4.84	25.8038	0.00362733
4.85	25.8201	0.00360167
4.86	25.8362	0.00357617
4.87	25.8523	0.00355084
4.88	25.8682	0.00352567
4.89	25.8841	0.00350065
4.9	25.8998	0.0034758
4.91	25.9154	0.00345111
4.92	25.9309	0.00342657
4.93	25.9463	0.00340219
4.94	25.9615	0.00337797
4.95	25.9767	0.00335391
4.96	25.9918	0.00333
4.97	26.0067	0.00330624
4.98	26.0215	0.00328264
4.99	26.0363	0.0032592
5	26.0509	0.0032359
5.01	26.0654	0.00321276
5.02	26.0799	0.00318977
5.03	26.0942	0.00316692
5.04	26.1084	0.00314423
5.05	26.1225	0.00312169
5.06	26.1365	0.00309929
5.07	26.1504	0.00307704
5.08	26.1642	0.00305494
5.09	26.1779	0.00303298
5.1	26.1916	0.00301117
5.11	26.2051	0.0029895
5.12	26.2185	0.00296798
5.13	26.2318	0.00294659
5.14	26.245	0.00292535
5.15	26.2582	0.00290425
5.16	26.2712	0.00288329
5.17	26.2842	0.00286248
5.18	26.297	0.00284179
5.19	26.3098	0.00282125
5.2	26.3224	0.00280085
5.21	26.335	0.00278058
5.22	26.3475	0.00276044
5.23	26.3599	0.00274045
5.24	26.3722	0.00272058
5.25	26.3844	0.00270085
5.26	26.3965	0.00268126
5.27	26.4085	0.00266179
5.28	26.4205	0.00264246
5.29	26.4323	0.00262325
5.3	26.4441	0.00260418
5.31	26.4558	0.00258524
5.32	26.4674	0.00256642
5.33	26.4789	0.00254773
5.34	26.4904	0.00252917
5.35	26.5017	0.00251074
5.36	26.513	0.00249243
5.37	26.5242	0.00247425
5.38	26.5353	0.00245619
5.39	26.5463	0.00243825
5.4	26.5572	0.00242044
5.41	26.5681	0.00240274
5.42	26.5789	0.00238517
5.43	26.5896	0.00236772
5.44	26.6002	0.00235039
5.45	26.6108	0.00233318
5.46	26.6212	0.00231609
5.47	26.6316	0.00229912
5.48	26.6419	0.00228226
5.49	26.6522	0.00226552
5.5	26.6624	0.00224889
5.51	26.6724	0.00223238
5.52	26.6825	0.00221598
5.53	26.6924	0.0021997
5.54	26.7023	0.00218353
5.55	26.7121	0.00216747
5.56	26.7218	0.00215153
5.57	26.7315	0.00213569
5.58	26.7411	0.00211997
5.59	26.7506	0.00210435
5.6	26.76	0.00208885
5.61	26.7694	0.00207345
5.62	26.7787	0.00205816
5.63	26.7879	0.00204297
5.64	26.7971	0.00202789
5.65	26.8062	0.00201292
5.66	26.8152	0.00199806
5.67	26.8242	0.00198329
5.68	26.8331	0.00196863
5.69	26.8419	0.00195408
5.7	26.8507	0.00193962
5.71	26.8594	0.00192527
5.72	26.868	0.00191102
5.73	26.8766	0.00189687
5.74	26.8851	0.00188282
5.75	26.8936	0.00186887
5.76	26.902	0.00185501
5.77	26.9103	0.00184126
5.78	26.9186	0.0018276
5.79	26.9268	0.00181404
5.8	26.9349	0.00180058
5.81	26.943	0.00178721
5.82	26.951	0.00177393
5.83	26.959	0.00176075
5.84	26.9669	0.00174766
5.85	26.9747	0.00173467
5.86	26.9825	0.00172177
5.87	26.9902	0.00170896
5.88	26.9979	0.00169624
5.89	27.0055	0.00168361
5.9	27.0131	0.00167108
5.91	27.0206	0.00165863
5.92	27.028	0.00164627
5.93	27.0354	0.001634
5.94	27.0427	0.00162182
5.95	27.05	0.00160972
5.96	27.0572	0.00159771
5.97	27.0644	0.00158579
5.98	27.0715	0.00157395
5.99	27.0786	0.0015622
6	27.0856	0.00155053
6.01	27.0925	0.00153895
6.02	27.0994	0.00152745
6.03	27.1063	0.00151603
6.04	27.1131	0.00150469
6.05	27.1198	0.00149344
6.06	27.1265	0.00148227
6.07	27.1332	0.00147118
6.08	27.1398	0.00146016
6.09	27.1464	0.00144923
6.1	27.1529	0.00143838
6.11	27.1593	0.0014276
6.12	27.1657	0.0014169
6.13	27.1721	0.00140628
6.14	27.1784	0.00139574
6.15	27.1847	0.00138527
6.16	27.1909	0.00137488
6.17	27.197	0.00136457
6.18	27.2032	0.00135433
6.19	27.2092	0.00134416
6.2	27.2153	0.00133407
6.21	27.2213	0.00132405
6.22	27.2272	0.0013141
6.23	27.2331	0.00130423
6.24	27.2389	0.00129443
6.25	27.2448	0.0012847
6.26	27.2505	0.00127504
6.27	27.2562	0.00126545
6.28	27.2619	0.00125593
6.29	27.2676	0.00124648
6.3	27.2731	0.0012371
6.31	27.2787	0.00122778
6.32	27.2842	0.00121854
6.33	27.2897	0.00120936
6.34	27.2951	0.00120025
6.35	27.3005	0.00119121
6.36	27.3058	0.00118223
6.37	27.3111	0.00117332
6.38	27.3164	0.00116447
6.39	27.3216	0.00115569
6.4	27.3268	0.00114698
6.41	27.332	0.00113832
6.42	27.3371	0.00112974
6.43	27.3421	0.00112121
6.44	27.3472	0.00111275
6.45	27.3522	0.00110434
6.46	27.3571	0.001096
6.47	27.362	0.00108773
6.48	27.3669	0.00107951
6.49	27.3718	0.00107135
6.5	27.3766	0.00106326
6.51	27.3813	0.00105522
6.52	27.3861	0.00104724
6.53	27.3908	0.00103932
6.54	27.3954	0.00103146
6.55	27.4001	0.00102366
6.56	27.4047	0.00101591
6.57	27.4092	0.00100823
6.58	27.4137	0.0010006
6.59	27.4182	0.000993021
6.6	27.4227	0.000985502
6.61	27.4271	0.000978039
6.62	27.4315	0.000970632
6.63	27.4358	0.000963279
6.64	27.4402	0.00095598
6.65	27.4445	0.000948736
6.66	27.4487	0.000941545
6.67	27.4529	0.000934408
6.68	27.4571	0.000927323
6.69	27.4613	0.000920291
6.7	27.4654	0.000913311
6.71	27.4695	0.000906383
6.72	27.4736	0.000899507
6.73	27.4776	0.000892681
6.74	27.4816	0.000885907
6.75	27.4856	0.000879182
6.76	27.4895	0.000872508
6.77	27.4935	0.000865883
6.78	27.4973	0.000859307
6.79	27.5012	0.000852781
6.8	27.505	0.000846303
6.81	27.5088	0.000839873
6.82	27.5126	0.000833491
6.83	27.5163	0.000827157
6.84	27.52	0.00082087
6.85	27.5237	0.00081463
6.86	27.5274	0.000808436
6.87	27.531	0.000802288
6.88	27.5346	0.000796187
6.89	27.5382	0.000790131
6.9	27.5417	0.00078412
6.91	27.5452	0.000778154
6.92	27.5487	0.000772233
6.93	27.5522	0.000766356
6.94	27.5556	0.000760522
6.95	27.5591	0.000754733
6.96	27.5624	0.000748987
6.97	27.5658	0.000743283
6.98	27.5691	0.000737623
6.99	27.5724	0.000732004
7	27.5757	0.000726428
7.01	27.579	0.000720894
7.02	27.5822	0.000715401
7.03	27.5854	0.000709949
7.04	27.5886	0.000704538
7.05	27.5918	0.000699168
7.06	27.5949	0.000693838
7.07	27.598	0.000688548
7.08	27.6011	0.000683298
7.09	27.6042	0.000678087
7.1	27.6072	0.000672915
7.11	27.6102	0.000667782
7.12	27.6132	0.000662687
7.13	27.6162	0.000657631
7.14	27.6192	0.000652613
7.15	27.6221	0.000647632
7.16	27.625	0.000642689
7.17	27.6279	0.000637783
7.18	27.6307	0.000632914
7.19	27.6336	0.000628082
7.2	27.6364	0.000623286
7.21	27.6392	0.000618526
7.22	27.642	0.000613802
7.23	27.6447	0.000609114
7.24	27.6475	0.000604461
7.25	27.6502	0.000599842
7.26	27.6529	0.000595259
7.27	27.6555	0.00059071
7.28	27.6582	0.000586196
7.29	27.6608	0.000581715
7.3	27.6634	0.000577269
7.31	27.666	0.000572856
7.32	27.6686	0.000568476
7.33	27.6711	0.000564129
7.34	27.6737	0.000559815
7.35	27.6762	0.000555534
7.36	27.6787	0.000551285
7.37	27.6811	0.000547068
7.38	27.6836	0.000542883
7.39	27.686	0.000538729
7.4	27.6884	0.000534607
7.41	27.6908	0.000530516
7.42	27.6932	0.000526456
7.43	27.6956	0.000522427
7.44	27.6979	0.000518428
7.45	27.7003	0.000514459
7.46	27.7026	0.00051052
7.47	27.7049	0.000506612
7.48	27.7071	0.000502732
7.49	27.7094	0.000498883
7.5	27.7116	0.000495062
7.51	27.7138	0.00049127
7.52	27.7161	0.000487507
7.53	27.7182	0.000483773
7.54	27.7204	0.000480066
7.55	27.7226	0.000476388
7.56	27.7247	0.000472738
7.57	27.7268	0.000469115
7.58	27.7289	0.00046552
7.59	27.731	0.000461952
7.6	27.7331	0.000458411
7.61	27.7351	0.000454897
7.62	27.7372	0.00045141
7.63	27.7392	0.000447949
7.64	27.7412	0.000444514
7.65	27.7432	0.000441106
7.66	27.7452	0.000437723
7.67	27.7472	0.000434366
7.68	27.7491	0.000431035
7.69	27.751	0.000427729
7.7	27.753	0.000424448
7.71	27.7549	0.000421191
7.72	27.7568	0.00041796
7.73	27.7586	0.000414753
7.74	27.7605	0.000411571
7.75	27.7623	0.000408412
7.76	27.7642	0.000405278
7.77	27.766	0.000402168
7.78	27.7678	0.000399081
7.79	27.7696	0.000396018
7.8	27.7714	0.000392978
7.81	27.7731	0.000389961
7.82	27.7749	0.000386967
7.83	27.7766	0.000383996
7.84	27.7783	0.000381047
7.85	27.78	0.000378121
7.86	27.7817	0.000375217
7.87	27.7834	0.000372336
7.88	27.7851	0.000369476
7.89	27.7867	0.000366638
7.9	27.7884	0.000363822
7.91	27.79	0.000361027
7.92	27.7916	0.000358253
7.93	27.7932	0.000355501
7.94	27.7948	0.000352769
7.95	27.7964	0.000350058
7.96	27.798	0.000347368
7.97	27.7996	0.000344699
7.98	27.8011	0.00034205
7.99	27.8026	0.000339421
8	27.8042	0.000336812
8.01	27.8057	0.000334223
8.02	27.8072	0.000331654
8.03	27.8087	0.000329104
8.04	27.8101	0.000326574
8.05	27.8116	0.000324063
8.06	27.8131	0.000321571
8.07	27.8145	0.000319099
8.08	27.8159	0.000316645
8.09	27.8173	0.00031421
8.1	27.8188	0.000311793
8.11	27.8202	0.000309395
8.12	27.8215	0.000307016
8.13	27.8229	0.000304654
8.14	27.8243	0.000302311
8.15	27.8256	0.000299985
8.16	27.827	0.000297677
8.17	27.8283	0.000295387
8.18	27.8297	0.000293114
8.19	27.831	0.000290859
8.2	27.8323	0.000288621
8.21	27.8336	0.0002864
8.22	27.8349	0.000284196
8.23	27.8361	0.000282009
8.24	27.8374	0.000279839
8.25	27.8386	0.000277685
8.26	27.8399	0.000275547
8.27	27.8411	0.000273427
8.28	27.8424	0.000271322
8.29	27.8436	0.000269233
8.3	27.8448	0.00026716
8.31	27.846	0.000265104
8.32	27.8472	0.000263063
8.33	27.8483	0.000261037
8.34	27.8495	0.000259027
8.35	27.8507	0.000257033
8.36	27.8518	0.000255053
8.37	27.853	0.000253089
8.38	27.8541	0.00025114
8.39	27.8552	0.000249206
8.4	27.8564	0.000247287
8.41	27.8575	0.000245382
8.42	27.8586	0.000243492
8.43	27.8597	0.000241616
8.44	27.8607	0.000239755
8.45	27.8618	0.000237908
8.46	27.8629	0.000236075
8.47	27.8639	0.000234257
8.48	27.865	0.000232452
8.49	27.866	0.000230661
8.5	27.8671	0.000228883
8.51	27.8681	0.00022712
8.52	27.8691	0.00022537
8.53	27.8701	0.000223633
8.54	27.8711	0.00022191
8.55	27.8721	0.000220199
8.56	27.8731	0.000218502
8.57	27.8741	0.000216818
8.58	27.8751	0.000215147
8.59	27.876	0.000213489
8.6	27.877	0.000211843
8.61	27.8779	0.00021021
8.62	27.8789	0.00020859
8.63	27.8798	0.000206982
8.64	27.8808	0.000205386
8.65	27.8817	0.000203803
8.66	27.8826	0.000202232
8.67	27.8835	0.000200672
8.68	27.8844	0.000199125
8.69	27.8853	0.00019759
8.7	27.8862	0.000196066
8.71	27.8871	0.000194554
8.72	27.8879	0.000193054
8.73	27.8888	0.000191565
8.74	27.8897	0.000190088
8.75	27.8905	0.000188622
8.76	27.8914	0.000187167
8.77	27.8922	0.000185724
8.78	27.893	0.000184291
8.79	27.8939	0.00018287
8.8	27.8947	0.000181459
8.81	27.8955	0.00018006
8.82	27.8963	0.000178671
8.83	27.8971	0.000177292
8.84	27.8979	0.000175925
8.85	27.8987	0.000174568
8.86	27.8995	0.000173221
8.87	27.9002	0.000171884
8.88	27.901	0.000170558
8.89	27.9018	0.000169242
8.9	27.9025	0.000167937
8.91	27.9033	0.000166641
8.92	27.904	0.000165355
8.93	27.9048	0.000164079
8.94	27.9055	0.000162813
8.95	27.9062	0.000161557
8.96	27.907	0.00016031
8.97	27.9077	0.000159073
8.98	27.9084	0.000157845
8.99	27.9091	0.000156627
9	27.9098	0.000155418
