LeakagePort 1	Current turn 0.5	Pressure storage 18.9856	Pressure reaction 0.62439	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
0.61	18.2254	1.13433	0.00555482	0.00233579
0.62	18.213	1.14771	0.00555103	0.00236334
0.63	18.2006	1.16108	0.00554726	0.00239088
0.64	18.1882	1.17445	0.00554348	0.00241839
0.65	18.1758	1.1878	0.0055397	0.00244589
0.66	18.1634	1.20114	0.00553593	0.00247337
0.67	18.1511	1.21448	0.00553216	0.00250083
0.68	18.1387	1.22781	0.0055284	0.00252827
0.69	18.1264	1.24112	0.00552463	0.00255569
0.7	18.114	1.25443	0.00552087	0.0025831
0.71	18.1017	1.26773	0.00551711	0.00261048
0.72	18.0894	1.28102	0.00551336	0.00263785
0.73	18.0771	1.2943	0.0055096	0.0026652
0.74	18.0647	1.30757	0.00550585	0.00269253
0.75	18.0524	1.32084	0.0055021	0.00271984
0.76	18.0402	1.33409	0.00549836	0.00274713
0.77	18.0279	1.34734	0.00549461	0.0027744
0.78	18.0156	1.36057	0.00549087	0.00280166
0.79	18.0033	1.3738	0.00548713	0.00282889
0.8	17.9911	1.38702	0.0054834	0.00285611
0.81	17.9788	1.40023	0.00547966	0.00288331
0.82	17.9666	1.41343	0.00547593	0.00291049
0.83	17.9544	1.42662	0.0054722	0.00293766
0.84	17.9421	1.4398	0.00546848	0.0029648
0.85	17.9299	1.45297	0.00546476	0.00299192
0.86	17.9177	1.46613	0.00546103	0.00301903
0.87	17.9055	1.47929	0.00545732	0.00304612
0.88	17.8933	1.49244	0.0054536	0.00307319
0.89	17.8811	1.50557	0.00544989	0.00310024
0.9	17.869	1.5187	0.00544618	0.00312727
0.91	17.8568	1.53182	0.00544247	0.00315429
0.92	17.8446	1.54493	0.00543876	0.00318129
0.93	17.8325	1.55803	0.00543506	0.00320826
0.94	17.8203	1.57112	0.00543136	0.00323522
0.95	17.8082	1.58421	0.00542766	0.00326216
0.96	17.7961	1.59728	0.00542397	0.00328909
0.97	17.784	1.61035	0.00542027	0.00331599
0.98	17.7719	1.62341	0.00541658	0.00334288
0.99	17.7598	1.63645	0.0054129	0.00336975
1	17.7477	1.64949	0.00540921	0.0033966
1.01	17.7356	1.66252	0.00540553	0.00342343
1.02	17.7235	1.67554	0.00540185	0.00345024
1.03	17.7114	1.68856	0.00539817	0.00347704
1.04	17.6994	1.70156	0.00539449	0.00350381
1.05	17.6873	1.71455	0.00539082	0.00353057
1.06	17.6753	1.72754	0.00538715	0.00355731
1.07	17.6633	1.74052	0.00538348	0.00358403
1.08	17.6512	1.75349	0.00537982	0.00361074
1.09	17.6392	1.76644	0.00537615	0.00363742
1.1	17.6272	1.7794	0.00537249	0.00366409
1.11	17.6152	1.79234	0.00536884	0.00369074
1.12	17.6032	1.80527	0.00536518	0.00371737
1.13	17.5912	1.81819	0.00536153	0.00374398
1.14	17.5792	1.83111	0.00535788	0.00377058
1.15	17.5673	1.84402	0.00535423	0.00379715
1.16	17.5553	1.85691	0.00535058	0.00382371
1.17	17.5434	1.8698	0.00534694	0.00385025
1.18	17.5314	1.88268	0.0053433	0.00387678
1.19	17.5195	1.89555	0.00533966	0.00390328
1.2	17.5076	1.90842	0.00533603	0.00392977
1.21	17.4956	1.92127	0.00533239	0.00395624
1.22	17.4837	1.93412	0.00532876	0.00398269
1.23	17.4718	1.94695	0.00532514	0.00400912
1.24	17.4599	1.95978	0.00532151	0.00403553
1.25	17.448	1.9726	0.00531789	0.00406193
1.26	17.4362	1.98541	0.00531427	0.00408831
1.27	17.4243	1.99821	0.00531065	0.00411467
1.28	17.4124	2.011	0.00530703	0.00414101
1.29	17.4006	2.02379	0.00530342	0.00416734
1.3	17.3887	2.03656	0.00529981	0.00419364
1.31	17.3769	2.04933	0.0052962	0.00421993
1.32	17.3651	2.06209	0.00529259	0.0042462
1.33	17.3532	2.07484	0.00528899	0.00427245
1.34	17.3414	2.08758	0.00528539	0.00429869
1.35	17.3296	2.10031	0.00528179	0.00432491
1.36	17.3178	2.11303	0.00527819	0.00435111
1.37	17.306	2.12575	0.0052746	0.00437729
1.38	17.2942	2.13845	0.00527101	0.00440345
1.39	17.2825	2.15115	0.00526742	0.0044296
1.4	17.2707	2.16384	0.00526383	0.00445573
1.41	17.2589	2.17652	0.00526025	0.00448184
1.42	17.2472	2.18919	0.00525667	0.00450793
1.43	17.2354	2.20185	0.00525309	0.004534
1.44	17.2237	2.21451	0.00524951	0.00456006
1.45	17.212	2.22715	0.00524594	0.0045861
1.46	17.2003	2.23979	0.00524237	0.00461212
1.47	17.1885	2.25242	0.0052388	0.00463812
1.48	17.1768	2.26504	0.00523523	0.00466411
1.49	17.1651	2.27765	0.00523167	0.00469008
1.5	17.1535	2.29025	0.00522811	0.00471603
1.51	17.1418	2.30284	0.00522455	0.00474196
1.52	17.1301	2.31543	0.00522099	0.00476788
1.53	17.1184	2.32801	0.00521743	0.00479378
1.54	17.1068	2.34057	0.00521388	0.00481966
1.55	17.0951	2.35313	0.00521033	0.00484552
1.56	17.0835	2.36568	0.00520678	0.00487136
