SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
3.17	23.0781	0.0123417	55.5544
3.18	23.1328	0.0122725	55.5544
3.19	23.1872	0.0122035	55.5544
3.2	23.2413	0.0121346	55.5544
3.21	23.295	0.0120659	55.5544
3.22	23.3485	0.0119973	55.5544
3.23	23.4016	0.0119289	55.5544
3.24	23.4545	0.0118606	55.5544
3.25	23.5071	0.0117925	55.5544
3.26	23.5593	0.0117246	55.5544
3.27	23.6112	0.0116569	55.5544
3.28	23.6629	0.0115894	55.5544
3.29	23.7142	0.011522	55.5544
3.3	23.7653	0.0114548	55.5544
3.31	23.816	0.0113878	55.5544
3.32	23.8665	0.011321	55.5544
3.33	23.9166	0.0112544	55.5544
3.34	23.9665	0.011188	55.5544
3.35	24.016	0.0111218	55.5544
3.36	24.0653	0.0110558	55.5544
3.37	24.1143	0.01099	55.5544
3.38	24.163	0.0109244	55.5544
3.39	24.2114	0.010859	55.5544
3.4	24.2595	0.0107939	55.5544
3.41	24.3073	0.0107289	55.5544
3.42	24.3548	0.0106642	55.5544
3.43	24.402	0.0105996	55.5544
3.44	24.449	0.0105353	55.5544
3.45	24.4956	0.0104712	55.5544
3.46	24.542	0.0104074	55.5544
3.47	24.5881	0.0103438	55.5544
3.48	24.6339	0.0102804	55.5544
3.49	24.6795	0.0102172	55.5544
3.5	24.7247	0.0101542	55.5544
3.51	24.7697	0.0100915	55.5544
3.52	24.8144	0.0100291	55.5544
3.53	24.8588	0.00996682	55.5544
3.54	24.9029	0.00990482	55.5544
3.55	24.9468	0.00984307	55.5544
3.56	24.9904	0.00978155	55.5544
3.57	25.0337	0.00972027	55.5544
3.58	25.0767	0.00965924	55.5544
3.59	25.1195	0.00959845	55.5544
3.6	25.162	0.00953792	55.5544
3.61	25.2043	0.00947762	55.5544
3.62	25.2462	0.00941758	55.5544
3.63	25.2879	0.00935779	55.5544
3.64	25.3294	0.00929824	55.5544
3.65	25.3705	0.00923895	55.5544
3.66	25.4114	0.00917992	55.5544
3.67	25.4521	0.00912113	55.5544
3.68	25.4925	0.0090626	55.5544
3.69	25.5326	0.00900433	55.5544
3.7	25.5725	0.00894631	55.5544
3.71	25.6121	0.00888856	55.5544
3.72	25.6514	0.00883105	55.5544
3.73	25.6905	0.00877381	55.5544
3.74	25.7294	0.00871683	55.5544
3.75	25.768	0.00866011	55.5544
3.76	25.8063	0.00860364	55.5544
3.77	25.8444	0.00854744	55.5544
3.78	25.8822	0.0084915	55.5544
3.79	25.9198	0.00843583	55.5544
3.8	25.9572	0.00838041	55.5544
3.81	25.9943	0.00832526	55.5544
3.82	26.0311	0.00827037	55.5544
3.83	26.0677	0.00821575	55.5544
3.84	26.1041	0.00816139	55.5544
3.85	26.1402	0.00810729	55.5544
3.86	26.1761	0.00805346	55.5544
3.87	26.2118	0.0079999	55.5544
3.88	26.2472	0.0079466	55.5544
3.89	26.2824	0.00789356	55.5544
3.9	26.3173	0.00784079	55.5544
3.91	26.352	0.00778828	55.5544
3.92	26.3865	0.00773604	55.5544
3.93	26.4207	0.00768407	55.5544
3.94	26.4547	0.00763236	55.5544
3.95	26.4885	0.00758092	55.5544
3.96	26.5221	0.00752974	55.5544
3.97	26.5554	0.00747883	55.5544
3.98	26.5885	0.00742818	55.5544
3.99	26.6214	0.0073778	55.5544
